          x      Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4         p_4           C_1           C_2           C_3           C_4
0       0.0  0.764052  619.763000  0.764735  647.130432  0.765246  665.254761  0.765666  622.600830  2.897418e-04  1.855410e-29  0.000000e+00  0.000000e+00
1       5.0  0.759458  619.375977  0.759739  646.744141  0.759639  664.868774  0.758819  622.214539  4.276320e-03  1.106888e-27  0.000000e+00  0.000000e+00
2      10.0  0.756025  618.982666  0.756441  646.351379  0.756620  664.476318  0.756952  621.821655  3.208997e-02  3.458077e-26  0.000000e+00  0.000000e+00
3      15.0  0.753392  618.584045  0.753939  645.954041  0.754613  664.079956  0.754620  621.425476  1.627251e-01  7.407670e-25  0.000000e+00  0.000000e+00
4      20.0  0.751242  618.179199  0.751912  645.553040  0.752551  663.680481  0.752889  621.026062  6.262234e-01  1.217027e-23  0.000000e+00  0.000000e+00
5      25.0  0.749365  617.763733  0.750117  645.148987  0.750677  663.277893  0.751304  620.624084  1.949022e+00  1.626879e-22  0.000000e+00  0.000000e+00
6      30.0  0.747709  617.326782  0.748571  644.742310  0.749086  662.872437  0.749650  620.219604  5.109365e+00  1.838923e-21  0.000000e+00  0.000000e+00
7      35.0  0.746222  616.846924  0.746958  644.332947  0.747658  662.464539  0.748267  619.812744  1.160644e+01  1.798883e-20  0.000000e+00  0.000000e+00
8      40.0  0.744868  616.288269  0.745648  643.921265  0.746516  662.054565  0.747127  619.403870  2.333205e+01  1.554320e-19  0.000000e+00  0.000000e+00
9      45.0  0.743646  615.598633  0.744537  643.507629  0.745145  661.642456  0.745764  618.992920  4.219667e+01  1.204483e-18  0.000000e+00  0.000000e+00
10     50.0  0.742453  614.711304  0.743448  643.092163  0.744220  661.228394  0.744859  618.580017  6.957900e+01  8.459024e-18  0.000000e+00  0.000000e+00
11     55.0  0.741321  613.544983  0.742535  642.674988  0.743307  660.812805  0.743858  618.165466  1.057942e+02  5.437647e-17  0.000000e+00  0.000000e+00
12     60.0  0.740179  611.981201  0.741437  642.256104  0.742240  660.395569  0.742932  617.749268  1.497883e+02  3.220420e-16  0.000000e+00  0.000000e+00
13     65.0  0.739018  609.915894  0.740687  641.835571  0.741266  659.976624  0.741943  617.331421  1.992143e+02  1.769892e-15  3.887445e-38  0.000000e+00
14     70.0  0.737833  607.304871  0.739839  641.413696  0.740566  659.556213  0.741174  616.912048  2.508641e+02  9.073101e-15  4.349416e-37  0.000000e+00
15     75.0  0.736640  604.131897  0.739212  640.990479  0.739779  659.134521  0.740347  616.491333  3.013173e+02  4.360771e-14  4.692055e-36  0.000000e+00
16     80.0  0.735368  600.293030  0.738510  640.566162  0.739310  658.711792  0.739765  616.069336  3.475887e+02  1.972297e-13  3.990886e-35  0.000000e+00
17     85.0  0.734010  595.734558  0.737983  640.140808  0.738570  658.288025  0.739012  615.646179  3.875866e+02  8.427593e-13  2.951764e-34  0.000000e+00
18     90.0  0.732650  590.561462  0.737413  639.714478  0.737947  657.862976  0.738595  615.221924  4.202802e+02  3.413128e-12  2.055467e-33  0.000000e+00
19     95.0  0.731322  584.889221  0.736796  639.287170  0.737566  657.437073  0.738126  614.796997  4.456248e+02  1.313223e-11  1.362121e-32  0.000000e+00
20    100.0  0.730039  578.829834  0.736307  638.858887  0.736903  657.010315  0.737516  614.371094  4.643090e+02  4.814920e-11  8.599406e-32  0.000000e+00
21    105.0  0.728807  572.482056  0.735739  638.429626  0.736347  656.582520  0.736864  613.944031  4.774396e+02  1.685362e-10  5.191812e-31  0.000000e+00
22    110.0  0.727632  565.926392  0.735289  637.999512  0.735774  656.153687  0.736395  613.515930  4.862559e+02  5.646014e-10  3.001939e-30  0.000000e+00
23    115.0  0.726510  559.224426  0.734831  637.568542  0.735265  655.723938  0.735841  613.086853  4.919234e+02  1.813720e-09  1.666100e-29  0.000000e+00
24    120.0  0.725433  552.420532  0.734307  637.136658  0.734814  655.293335  0.735452  612.656982  4.954175e+02  5.594034e-09  8.895539e-29  0.000000e+00
25    125.0  0.724395  545.544922  0.733985  636.704041  0.734386  654.861938  0.734886  612.226318  4.974873e+02  1.660180e-08  4.573446e-28  0.000000e+00
26    130.0  0.723384  538.617249  0.733513  636.270691  0.734020  654.429810  0.734410  611.794678  4.986674e+02  4.746430e-08  2.267740e-27  0.000000e+00
27    135.0  0.722399  531.649963  0.733274  635.836731  0.733674  653.997009  0.734052  611.362244  4.993153e+02  1.309674e-07  1.086068e-26  0.000000e+00
28    140.0  0.721428  524.650330  0.732975  635.402344  0.733397  653.563721  0.733747  610.929260  4.996585e+02  3.491571e-07  5.030877e-26  0.000000e+00
29    145.0  0.720468  517.622620  0.732567  634.967285  0.732922  653.129761  0.733352  610.495667  4.998338e+02  9.001482e-07  2.254469e-25  0.000000e+00
30    150.0  0.719514  510.569214  0.732254  634.531555  0.732629  652.695190  0.733001  610.061401  4.999194e+02  2.247137e-06  9.790458e-25  0.000000e+00
31    155.0  0.718564  503.491364  0.731996  634.095276  0.732388  652.260193  0.732845  609.626709  4.999576e+02  5.438094e-06  4.125054e-24  0.000000e+00
32    160.0  0.717611  496.389771  0.731730  633.658508  0.732062  651.824646  0.732420  609.191467  4.999703e+02  1.276892e-05  1.687123e-23  0.000000e+00
33    165.0  0.716654  489.264771  0.731474  633.221252  0.731823  651.388611  0.732111  608.755615  4.999666e+02  2.911889e-05  6.705524e-23  0.000000e+00
