          x     Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4         p_4            C_1            C_2           C_3            C_4 
0       0.0  0.766173  735.720559  0.766750  774.036456  0.767259  703.188534  0.767712  618.981537   1.559495e-10   3.162933e-48  6.825348e-86  1.592434e-123
1       5.0  0.762048  735.337084  0.762758  773.653940  0.763391  702.806866  0.763959  618.600625   4.338169e-09   2.785973e-46  8.679890e-84  2.446511e-121
2      10.0  0.759052  734.948257  0.759840  773.266249  0.760548  702.420191  0.761189  618.214861   6.146932e-08   1.291292e-44  5.948381e-82  2.059485e-119
3      15.0  0.756642  734.555287  0.757478  772.874533  0.758238  702.029601  0.758929  617.825289   5.882234e-07   4.131070e-43  2.862716e-80  1.233258e-117
4      20.0  0.754609  734.158864  0.755477  772.479441  0.756270  701.635715  0.756997  617.432501   4.264121e-06   1.017194e-41  1.074698e-78  5.821229e-116
5      25.0  0.752846  733.759455  0.753732  772.081416  0.754548  701.238955  0.755301  617.036898   2.493276e-05   2.044993e-40  3.330106e-77  2.287901e-114
6      30.0  0.751289  733.357406  0.752185  771.680789  0.753016  700.839633  0.753786  616.638779   1.223430e-04   3.483696e-39  8.823124e-76  7.746461e-113
7      35.0  0.749896  732.952989  0.750795  771.277817  0.751633  700.437997  0.752415  616.238378   5.177640e-04   5.158498e-38  2.047726e-74  2.312508e-111
8      40.0  0.748637  732.546420  0.749533  770.872711  0.750375  700.034245  0.751164  615.835886   1.928088e-03   6.764323e-37  4.236850e-73  6.189836e-110
9      45.0  0.747489  732.137865  0.748380  770.465648  0.749220  699.628547  0.750012  615.431465   6.415289e-03   7.967214e-36  7.920386e-72  1.504632e-108
10     50.0  0.746438  731.727433  0.747319  770.056779  0.748155  699.221047  0.748947  615.025253   1.930454e-02   8.523657e-35  1.351924e-70  3.354931e-107
11     55.0  0.745468  731.315138  0.746338  769.646232  0.747168  698.811870  0.747957  614.617368   5.305485e-02   8.358123e-34  2.124968e-69  6.917404e-106
12     60.0  0.744571  730.900810  0.745427  769.234124  0.746248  698.401125  0.747033  614.207917   1.342620e-01   7.568248e-33  3.097353e-68  1.327682e-104
13     65.0  0.743736  730.483932  0.744579  768.820555  0.745389  697.988911  0.746167  613.796995   3.150165e-01   6.368051e-32  4.211354e-67  2.385362e-103
14     70.0  0.742958  730.063354  0.743785  768.405616  0.744584  697.575315  0.745354  613.384684   6.893336e-01   5.005637e-31  5.368090e-66  4.030695e-102
15     75.0  0.742228  729.636848  0.743042  767.989388  0.743828  697.160416  0.744588  612.971062   1.414074e+00   3.692759e-30  6.442566e-65  6.431932e-101
16     80.0  0.741541  729.200469  0.742343  767.571947  0.743116  696.744287  0.743866  612.556199   2.731652e+00   2.566972e-29  7.307532e-64  9.727012e-100
17     85.0  0.740892  728.747739  0.741685  767.153358  0.742444  696.326993  0.743183  612.140157   4.989298e+00   1.687327e-28  7.859402e-63   1.398451e-98
18     90.0  0.740273  728.268702  0.741064  766.733685  0.741808  695.908594  0.742535  611.722997   8.647506e+00   1.052058e-27  8.038699e-62   1.916652e-97
19     95.0  0.739679  727.748980  0.740477  766.312982  0.741206  695.489145  0.741921  611.304771   1.426970e+01   6.239521e-27  7.839584e-61   2.510362e-96
20    100.0  0.739103  727.169024  0.739921  765.891303  0.740635  695.068699  0.741337  610.885530   2.248699e+01   3.528738e-26  7.306831e-60   3.149092e-95
21    105.0  0.738538  726.503764  0.739394  765.468695  0.740093  694.647302  0.740782  610.465321   3.393645e+01   1.907321e-25  6.522481e-59   3.791024e-94
22    110.0  0.737977  725.722886  0.738894  765.045204  0.739577  694.224999  0.740253  610.044187   4.917795e+01   9.873105e-25  5.586995e-58   4.387684e-93
23    115.0  0.737413  724.791852  0.738418  764.620871  0.739086  693.801830  0.739749  609.622168   6.860130e+01   4.903654e-24  4.600296e-57   4.890330e-92
24    120.0  0.736840  723.673702  0.737965  764.195734  0.738618  693.377835  0.739267  609.199303   9.234073e+01   2.340798e-23  3.646964e-56   5.256787e-91
25    125.0  0.736245  722.309124  0.737533  763.769831  0.738171  692.953050  0.738807  608.775628   1.202146e+02   1.075644e-22  2.787759e-55   5.457386e-90
26    130.0  0.735602  720.629930  0.737122  763.343193  0.737744  692.527508  0.738367  608.351175   1.517063e+02   4.764990e-22  2.057534e-54   5.478815e-89
27    135.0  0.734930  718.592656  0.736728  762.915855  0.737336  692.101241  0.737945  607.925977   1.859897e+02   2.037636e-21  1.468091e-53   5.325255e-88
28    140.0  0.734231  716.171395  0.736353  762.487844  0.736946  691.674279  0.737541  607.500063   2.220005e+02   8.421750e-21  1.013864e-52   5.016758e-87
29    145.0  0.733509  713.352259  0.735993  762.059190  0.736572  691.246650  0.737154  607.073461   2.585412e+02   3.368152e-20  6.784212e-52   4.585418e-86
30    150.0  0.732769  710.134279  0.735649  761.629918  0.736214  690.818381  0.736783  606.646199   2.944016e+02   1.304858e-19  4.403030e-51   4.070259e-85
31    155.0  0.731965  706.446218  0.735319  761.200053  0.735870  690.389497  0.736427  606.218301   3.284751e+02   4.901805e-19  2.774268e-50   3.511885e-84
32    160.0  0.731044  702.220799  0.735003  760.769620  0.735540  689.960021  0.736084  605.789791   3.598568e+02   1.787231e-18  1.698538e-49   2.947792e-83
33    165.0  0.730104  697.490922  0.734699  760.338639  0.735223  689.529977  0.735755  605.360692   3.878951e+02   6.330287e-18  1.011335e-48   2.408980e-82
34    170.0  0.729164  692.312333  0.734408  759.907133  0.734919  689.099386  0.735438  604.931026   4.122180e+02   2.179955e-17  5.860692e-48   1.918098e-81
35    175.0  0.728237  686.745376  0.734128  759.475120  0.734626  688.668267  0.735133  604.500812   4.327211e+02   7.304590e-17  3.307947e-47   1.489061e-80
36    180.0  0.727331  680.850883  0.733859  759.042621  0.734345  688.236640  0.734840  604.070072   4.495289e+02   2.383373e-16  1.819819e-46   1.127833e-79
37    185.0  0.726455  674.686815  0.733600  758.609652  0.734074  687.804524  0.734557  603.638822   4.629385e+02   7.577783e-16  9.764398e-46   8.339472e-79
38    190.0  0.725613  668.305832  0.733350  758.176231  0.733813  687.371936  0.734285  603.207081   4.733577e+02   2.349291e-15  5.113085e-45   6.023527e-78
39    195.0  0.724808  661.753805  0.733110  757.742374  0.733561  686.938892  0.734022  602.774866   4.812477e+02   7.106426e-15  2.614565e-44   4.252316e-77
40    200.0  0.724039  655.069210  0.732879  757.308097  0.733319  686.505409  0.733769  602.342193   4.870743e+02   2.098686e-14  1.306294e-43   2.935582e-76
41    205.0  0.723305  648.283211  0.732656  756.873413  0.733085  686.071501  0.733524  601.909077   4.912729e+02   6.054448e-14  6.380307e-43   1.982794e-75
42    210.0  0.722601  641.420242  0.732441  756.438338  0.732859  685.637182  0.733288  601.475533   4.942270e+02   1.707144e-13  3.048065e-42   1.310950e-74
43    215.0  0.721922  634.498888  0.732233  756.002884  0.732641  685.202468  0.733060  601.041576   4.962576e+02   4.707179e-13  1.424958e-41   8.488296e-74
44    220.0  0.721265  627.532884  0.732033  755.567063  0.732430  684.767369  0.732839  600.607218   4.976218e+02   1.269880e-12  6.521957e-41   5.384833e-73
45    225.0  0.720625  620.532108  0.731839  755.130890  0.732227  684.331900  0.732626  600.172473   4.985182e+02   3.353385e-12  2.923792e-40   3.348304e-72
46    230.0  0.719998  613.503483  0.731652  754.694373  0.732030  683.896073  0.732420  599.737352   4.990945e+02   8.672028e-12  1.284381e-39   2.041521e-71
47    235.0  0.719381  606.451743  0.731471  754.257526  0.731840  683.459898  0.732221  599.301868   4.994571e+02   2.197175e-11  5.530929e-39   1.221033e-70
48    240.0  0.718771  599.380048  0.731296  753.820358  0.731656  683.023387  0.732028  598.866033   4.996805e+02   5.456290e-11  2.335771e-38   7.166501e-70
49    245.0  0.718165  592.290462  0.731127  753.382880  0.731478  682.586550  0.731841  598.429856   4.998152e+02   1.328599e-10  9.677309e-38   4.129028e-69
50    250.0  0.717563  585.184301  0.730963  752.945102  0.731306  682.149397  0.731660  597.993349   4.998948e+02   3.173384e-10  3.934855e-37   2.336138e-68
51    255.0  0.716961  578.062380  0.730805  752.507032  0.731139  681.711939  0.731485  597.556522   4.999405e+02   7.437808e-10  1.570740e-36   1.298382e-67
52    260.0  0.716359  570.925189  0.730651  752.068679  0.730978  681.274184  0.731315  597.119384   4.999659e+02   1.711263e-09  6.157822e-36   7.090837e-67
53    265.0  0.715756  563.773005  0.730502  751.630053  0.730821  680.836141  0.731151  596.681944   4.999789e+02   3.866235e-09  2.371581e-35   3.806419e-66
54    270.0  0.715149  556.605967  0.730358  751.191162  0.730669  680.397820  0.730991  596.244212   4.999841e+02   8.580328e-09  8.975779e-35   2.009035e-65
55    275.0  0.714538  549.424125  0.730218  750.752013  0.730522  679.959228  0.730836  595.806196   4.999836e+02   1.871129e-08  3.339338e-34   1.042880e-64
56    280.0  0.713921  542.227470  0.730083  750.312613  0.730379  679.520372  0.730686  595.367904   4.999781e+02   4.010720e-08  1.221599e-33   5.325689e-64
57    285.0  0.713295  535.015956  0.729951  749.872971  0.730240  679.081262  0.730541  594.929344   4.999668e+02   8.452601e-08  4.395405e-33   2.676255e-63
58    290.0  0.712659  527.789515  0.729823  749.433094  0.730106  678.641904  0.730399  594.490524   4.999478e+02   1.751999e-07  1.555925e-32   1.323734e-62
59    295.0  0.712010  520.548075  0.729699  748.992987  0.729975  678.202305  0.730262  594.051452   4.999178e+02   3.572524e-07  5.420159e-32   6.446193e-62
60    300.0  0.711346  513.291577  0.729579  748.552658  0.729848  677.762472  0.730128  593.612133   4.998719e+02   7.168567e-07  1.858570e-31   3.091288e-61
61    305.0  0.710663  506.020002  0.729462  748.112113  0.729725  677.322412  0.729999  593.172576   4.998029e+02   1.415860e-06  6.274742e-31   1.460193e-60
62    310.0  0.709958  498.733402  0.729348  747.671357  0.729605  676.882130  0.729873  592.732787   4.997013e+02   2.753277e-06  2.086250e-30   6.795376e-60
63    315.0  0.709225  491.431942  0.729238  747.230397  0.729489  676.441633  0.729750  592.292772   4.995538e+02   5.272658e-06  6.832669e-30   3.116335e-59
64    320.0  0.708462  484.115960  0.729131  746.789238  0.729376  676.000928  0.729631  591.852536   4.993431e+02   9.946357e-06  2.204779e-29   1.408621e-58
65    325.0  0.707661  476.786037  0.729026  746.347886  0.729266  675.560018  0.729516  591.412088   4.990467e+02   1.848652e-05  7.011073e-29   6.277011e-58
66    330.0  0.706816  469.443090  0.728925  745.906345  0.729159  675.118911  0.729403  590.971431   4.986358e+02   3.386120e-05  2.197557e-28   2.758082e-57
67    335.0  0.705922  462.088472  0.728826  745.464620  0.729055  674.677611  0.729293  590.530571   4.980746e+02   6.113667e-05  6.790798e-28   1.195201e-56
68    340.0  0.704969  454.724107  0.728729  745.022717  0.728953  674.236123  0.729187  590.089514   4.973190e+02   1.088298e-04  2.069249e-27   5.109007e-56
69    345.0  0.703949  447.352631  0.728636  744.580640  0.728855  673.794452  0.729083  589.648265   4.963162e+02   1.910432e-04  6.218702e-27   2.154632e-55
70    350.0  0.702852  439.977551  0.728545  744.138392  0.728759  673.352603  0.728982  589.206829   4.950038e+02   3.307826e-04  1.843586e-26   8.966613e-55
71    355.0  0.701668  432.603414  0.728456  743.695977  0.728665  672.910581  0.728884  588.765210   4.933097e+02   5.650258e-04  5.392409e-26   3.682795e-54
72    360.0  0.700386  425.235985  0.728369  743.253399  0.728574  672.468389  0.728788  588.323414   4.911524e+02   9.523432e-04  1.556451e-25   1.493118e-53
73    365.0  0.698991  417.882416  0.728285  742.810660  0.728485  672.026033  0.728694  587.881445   4.884420e+02   1.584169e-03  4.434006e-25   5.976532e-53
74    370.0  0.697471  410.551408  0.728203  742.367761  0.728399  671.583516  0.728603  587.439306   4.850812e+02   2.601198e-03  1.246920e-24   2.362178e-52
75    375.0  0.695809  403.253343  0.728123  741.924700  0.728315  671.140842  0.728515  586.997003   4.809677e+02   4.216859e-03  3.462051e-24   9.220452e-52
76    380.0  0.693990  396.000389  0.728045  741.481476  0.728232  670.698015  0.728428  586.554540   4.759967e+02   6.750349e-03  9.491847e-24   3.554954e-51
77    385.0  0.691993  388.806556  0.727969  741.038081  0.728152  670.255039  0.728344  586.111919   4.700649e+02   1.067238e-02  2.570147e-23   1.354012e-50
78    390.0  0.689799  381.687694  0.727894  740.594504  0.728074  669.811918  0.728261  585.669146   4.630735e+02   1.666745e-02  6.874189e-23   5.095427e-50
79    395.0  0.687384  374.661435  0.727822  740.150724  0.727998  669.368655  0.728181  585.226224   4.549331e+02   2.571717e-02  1.816375e-22   1.894827e-49
80    400.0  0.684722  367.747058  0.727751  739.706711  0.727923  668.925253  0.728103  584.783156   4.455678e+02   3.920990e-02  4.742127e-22   6.963855e-49
81    405.0  0.681784  360.965289  0.727682  739.262420  0.727851  668.481716  0.728027  584.339946   4.349197e+02   5.908234e-02  1.223449e-21   2.529759e-48
82    410.0  0.678535  354.338029  0.727614  738.817784  0.727780  668.038047  0.727952  583.896597   4.229527e+02   8.799923e-02  3.119635e-21   9.084798e-48
83    415.0  0.674937  347.888023  0.727548  738.372710  0.727710  667.594249  0.727879  583.453113   4.096559e+02   1.295770e-01  7.862946e-21   3.225625e-47
84    420.0  0.670945  341.638475  0.727483  737.927064  0.727643  667.150325  0.727808  583.009496   3.950459e+02   1.886570e-01  1.959241e-20   1.132478e-46
85    425.0  0.666505  335.612634  0.727419  737.480664  0.727577  666.706277  0.727739  582.565750   3.791687e+02   2.716316e-01  4.826893e-20   3.932020e-46
86    430.0  0.661559  329.833377  0.727357  737.033261  0.727512  666.262109  0.727671  582.121878   3.620994e+02   3.868266e-01  1.175924e-19   1.350282e-45
87    435.0  0.656049  324.322870  0.727295  736.584521  0.727449  665.817824  0.727605  581.677882   3.439417e+02   5.449371e-01  2.833194e-19   4.586772e-45
88    440.0  0.649974  319.102592  0.727235  736.134000  0.727388  665.373424  0.727540  581.233765   3.248265e+02   7.595126e-01  6.751670e-19   1.541393e-44
89    445.0  0.643707  314.195036  0.727175  735.681118  0.727327  664.928911  0.727477  580.789531   3.049157e+02   1.047481e+00  1.591605e-18   5.124982e-44
90    450.0  0.638318  309.572445  0.727115  735.225126  0.727269  664.484288  0.727415  580.345181   2.844259e+02   1.429696e+00  3.711922e-18   1.686133e-43
91    455.0  0.632694  305.184578  0.727056  734.765066  0.727211  664.039558  0.727354  579.900718   2.635833e+02   1.931480e+00  8.565465e-18   5.489824e-43
92    460.0  0.626570  301.023044  0.726996  734.299733  0.727155  663.594723  0.727295  579.456145   2.426010e+02   2.583147e+00  1.955869e-17   1.769043e-42
93    465.0  0.619926  297.091172  0.726936  733.827621  0.727100  663.149784  0.727238  579.011464   2.216958e+02   3.420444e+00  4.419901e-17   5.642566e-42
94    470.0  0.612736  293.390075  0.726874  733.346883  0.727046  662.704745  0.727181  578.566677   2.010812e+02   4.484902e+00  9.885882e-17   1.781629e-41
95    475.0  0.604978  289.918633  0.726811  732.855266  0.726993  662.259608  0.727126  578.121787   1.809613e+02   5.824020e+00  2.188738e-16   5.569334e-41
96    480.0  0.596635  286.673557  0.726746  732.350068  0.726941  661.814374  0.727072  577.676796   1.615256e+02   7.491252e+00  4.797245e-16   1.723761e-40
97    485.0  0.587700  283.649503  0.726678  731.828078  0.726891  661.369045  0.727019  577.231706   1.429447e+02   9.545752e+00  1.041007e-15   5.282998e-40
98    490.0  0.578192  280.839263  0.726607  731.285531  0.726841  660.923624  0.726967  576.786518   1.253660e+02   1.205182e+01  2.236769e-15   1.603444e-39
99    495.0  0.568289  278.234301  0.726531  730.718064  0.726793  660.478112  0.726916  576.341236   1.089137e+02   1.507804e+01  4.759233e-15   4.819890e-39
100   500.0  0.559130  275.816616  0.726450  730.120680  0.726746  660.032512  0.726866  575.895861   9.370126e+01   1.869606e+01  1.002864e-14   1.435059e-38
101   505.0  0.550583  273.555758  0.726364  729.487733  0.726699  659.586824  0.726817  575.450395   7.982704e+01   2.297906e+01  2.093034e-14   4.232432e-38
102   510.0  0.542040  271.428914  0.726270  728.812912  0.726654  659.141052  0.726770  575.004839   6.732234e+01   2.799985e+01  4.326929e-14   1.236618e-37
103   515.0  0.533627  269.424156  0.726169  728.089260  0.726609  658.695195  0.726723  574.559196   5.618839e+01   3.382871e+01  8.861174e-14   3.579675e-37
104   520.0  0.525484  267.529280  0.726059  727.309205  0.726565  658.249257  0.726677  574.113468   4.639875e+01   4.053099e+01  1.797831e-13   1.026716e-36
105   525.0  0.517748  265.732053  0.725940  726.464607  0.726523  657.803239  0.726632  573.667655   3.790152e+01   4.816458e+01  3.614019e-13   2.918045e-36
106   530.0  0.510540  264.020448  0.725810  725.546844  0.726481  657.357142  0.726588  573.221760   3.062288e+01   5.677731e+01  7.198673e-13   8.218698e-36
107   535.0  0.503965  262.382878  0.725669  724.546902  0.726439  656.910968  0.726545  572.775785   2.447131e+01   6.640443e+01  1.420925e-12   2.294131e-35
108   540.0  0.498096  260.808412  0.725517  723.455504  0.726399  656.464718  0.726503  572.329730   1.934226e+01   7.706626e+01  2.779601e-12   6.347041e-35
109   545.0  0.492970  259.286947  0.725352  722.263243  0.726359  656.018394  0.726462  571.883597   1.512330e+01   8.876622e+01  5.389161e-12   1.740587e-34
110   550.0  0.488591  257.809343  0.725173  720.958734  0.726320  655.571997  0.726421  571.437389   1.169910e+01   1.014892e+02  1.035671e-11   4.731773e-34
111   555.0  0.484928  256.367504  0.724959  719.517370  0.726282  655.125529  0.726381  570.991105   8.956165e+00   1.152008e+02  1.972958e-11   1.275229e-33
112   560.0  0.481925  254.954410  0.724713  717.915793  0.726245  654.678990  0.726342  570.544749   6.786809e+00   1.298470e+02  3.726000e-11   3.407378e-33
113   565.0  0.479510  253.564094  0.724447  716.143590  0.726208  654.232382  0.726304  570.098320   5.092099e+00   1.453539e+02  6.976372e-11   9.027162e-33
