               t         prod_1         prod_2         prod_3         prod_4
0       0.000000      54.856323      54.856323      54.856323      54.856323
1       0.080104     109.712646     109.712646     109.712646     109.712646
2       0.160208     164.568970     164.568970     164.568970     164.568970
3       0.240312     219.423340     219.423340     219.423340     219.423340
4       0.320417     274.277710     274.277710     274.277710     274.277710
5       0.400521     329.138275     329.138275     329.138275     329.138275
6       0.480625     383.992615     383.992615     383.992615     383.992615
7       0.560729     438.846985     438.846985     438.846985     438.846985
8       0.640833     493.704742     493.704742     493.704742     493.704742
9       0.720937     548.561035     548.561035     548.561035     548.561035
10      0.801041     603.415405     603.415405     603.415405     603.415405
11      0.881145     658.271729     658.271729     658.271729     658.271729
12      0.961250     713.128052     713.128052     713.128052     713.128052
13      1.041354     767.984375     767.984375     767.984375     767.984375
14      1.121458     822.842102     822.842102     822.842102     822.842102
15      1.201562     877.698486     877.698486     877.698486     877.698486
16      1.281666     932.554810     932.554810     932.554810     932.554810
17      1.361770     987.415344     987.415344     987.415344     987.415344
18      1.441874    1042.271606    1042.271606    1042.271606    1042.271606
19      1.521979    1097.129395    1097.129395    1097.129395    1097.129395
20      1.602083    1151.983765    1151.983765    1151.983765    1151.983765
21      1.682187    1206.838135    1206.838135    1206.838135    1206.838135
22      1.762291    1261.697266    1261.697266    1261.697266    1261.697266
23      1.842395    1316.553711    1316.553711    1316.553711    1316.553711
24      1.922499    1371.407837    1371.407837    1371.407837    1371.407837
25      2.002603    1426.267090    1426.267090    1426.267090    1426.267090
26      2.082707    1481.124756    1481.124756    1481.124756    1481.124756
27      2.162812    1535.982544    1535.982544    1535.982544    1535.982544
28      2.242916    1590.836914    1590.836914    1590.836914    1590.836914
29      2.323020    1645.691284    1645.691284    1645.691284    1645.691284
30      2.403124    1700.549072    1700.549072    1700.549072    1700.549072
31      2.483228    1755.405396    1755.405396    1755.405396    1755.405396
32      2.563332    1810.259766    1810.259766    1810.259766    1810.259766
33      2.643436    1865.116089    1865.116089    1865.116089    1865.116089
34      2.723541    1919.975220    1919.975220    1919.975220    1919.975220
35      2.803645    1974.835815    1974.835815    1974.835815    1974.835815
36      2.883749    2029.692017    2029.692017    2029.692017    2029.692017
