                 t         prod_1         prod_2         prod_3         prod_4         prod_5
0         0.000000      54.856321      54.856321      54.856321      54.856321      54.856321
1         0.080091     109.712642     109.712642     109.712642     109.712642     109.712642
2         0.160182     164.568963     164.568963     164.568963     164.568963     164.568963
3         0.240272     219.425283     219.425283     219.425283     219.425283     219.425283
4         0.320363     274.281604     274.281604     274.281604     274.281604     274.281604
5         0.400454     329.137925     329.137925     329.137925     329.137925     329.137925
6         0.480545     383.994246     383.994246     383.994246     383.994246     383.994246
7         0.560635     438.850567     438.850567     438.850567     438.850567     438.850567
8         0.640726     493.706888     493.706888     493.706888     493.706888     493.706888
9         0.720817     548.563208     548.563208     548.563208     548.563208     548.563208
10        0.800908     603.419529     603.419529     603.419529     603.419529     603.419529
11        0.880998     658.275850     658.275850     658.275850     658.275850     658.275850
12        0.961089     713.132171     713.132171     713.132171     713.132171     713.132171
13        1.041180     767.988492     767.988492     767.988492     767.988492     767.988492
14        1.121271     822.844813     822.844813     822.844813     822.844813     822.844813
15        1.201362     877.701134     877.701134     877.701134     877.701134     877.701134
16        1.281452     932.557454     932.557454     932.557454     932.557454     932.557454
17        1.361543     987.413775     987.413775     987.413775     987.413775     987.413775
18        1.441634    1042.270096    1042.270096    1042.270096    1042.270096    1042.270096
19        1.521725    1097.126417    1097.126417    1097.126417    1097.126417    1097.126417
20        1.601815    1151.982738    1151.982738    1151.982738    1151.982738    1151.982738
21        1.681906    1206.839059    1206.839059    1206.839059    1206.839059    1206.839059
22        1.761997    1261.695380    1261.695380    1261.695380    1261.695380    1261.695380
23        1.842088    1316.551700    1316.551700    1316.551700    1316.551700    1316.551700
24        1.922178    1371.408021    1371.408021    1371.408021    1371.408021    1371.408021
25        2.002269    1426.264342    1426.264342    1426.264342    1426.264342    1426.264342
26        2.082360    1481.120663    1481.120663    1481.120663    1481.120663    1481.120663
27        2.162451    1535.976984    1535.976984    1535.976984    1535.976984    1535.976984
28        2.242542    1590.833305    1590.833305    1590.833305    1590.833305    1590.833305
29        2.322632    1645.689625    1645.689625    1645.689625    1645.689625    1645.689625
30        2.402723    1700.545946    1700.545946    1700.545946    1700.545946    1700.545946
31        2.482814    1755.402267    1755.402267    1755.402267    1755.402267    1755.402267
32        2.562905    1810.258588    1810.258588    1810.258588    1810.258588    1810.258588
33        2.642995    1865.114909    1865.114909    1865.114909    1865.114909    1865.114909
34        2.723086    1919.971230    1919.971230    1919.971230    1919.971230    1919.971230
35        2.803177    1974.827551    1974.827551    1974.827551    1974.827551    1974.827551
36        2.883268    2029.683871    2029.683871    2029.683871    2029.683871    2029.683871
37        2.963358    2084.540192    2084.540192    2084.540192    2084.540192    2084.540192
38        3.043449    2139.396513    2139.396513    2139.396513    2139.396513    2139.396513
39        3.123540    2194.252834    2194.252834    2194.252834    2194.252834    2194.252834
40        3.203631    2249.109155    2249.109155    2249.109155    2249.109155    2249.109155
41        3.283722    2303.965476    2303.965476    2303.965476    2303.965476    2303.965476
42        3.363812    2358.821796    2358.821796    2358.821796    2358.821796    2358.821796
43        3.443903    2413.678117    2413.678117    2413.678117    2413.678117    2413.678117
44        3.523994    2468.534438    2468.534438    2468.534438    2468.534438    2468.534438
45        3.604085    2523.390759    2523.390759    2523.390759    2523.390759    2523.390759
